"","year","date","doy","PIT_tag","Habitat","age_cluster","FL","TL","Weight","mean_Temp_C","mean_Flow_cms"
"52",2021,"2021-05-21",141,NA,"Main_Side","age-1",55,59,1.7,4.0017694375,3.98584551861062
"53",2021,"2021-05-21",141,NA,"Main_Side","age-1",53,57,1.9,4.0017694375,3.98584551861062
"54",2021,"2021-05-21",141,NA,"Main_Side","age-1",73,79,4,4.0017694375,3.98584551861062
"55",2021,"2021-05-21",141,NA,"Main_Side","age-1",60,64,2.1,4.0017694375,3.98584551861062
"56",2021,"2021-05-21",141,NA,"Main_Side","age-1",65,71,2.9,4.0017694375,3.98584551861062
"57",2021,"2021-05-21",141,NA,"Main_Side","age-1",57,63,2,4.0017694375,3.98584551861062
"58",2021,"2021-05-21",141,NA,"Seep","age-1",57,61,2,4.0017694375,3.98584551861062
"59",2021,"2021-05-21",141,NA,"Seep","age-1",50,54,1.4,4.0017694375,3.98584551861062
"60",2021,"2021-05-21",141,NA,"Seep","age-1",52,56,1.4,4.0017694375,3.98584551861062
"61",2021,"2021-05-21",141,NA,"Seep","age-1",61,66,2.3,4.0017694375,3.98584551861062
"62",2021,"2021-05-21",141,NA,"Seep","age-1",62,67,2.5,4.0017694375,3.98584551861062
"63",2021,"2021-05-21",141,NA,"Seep","age-1",53,56,1.6,4.0017694375,3.98584551861062
"64",2021,"2021-05-21",141,NA,"Seep","age-1",55,59,2.3,4.0017694375,3.98584551861062
"65",2021,"2021-05-21",141,NA,"Seep","age-1",47,51,1.2,4.0017694375,3.98584551861062
"66",2021,"2021-05-26",146,NA,"Main_Side","age-1",45,48,0.9,4.412409625,4.20223522952227
"67",2021,"2021-05-26",146,"93DDF40","Main_Side","age-2",85,92,5.9,4.412409625,4.20223522952227
"68",2021,"2021-05-26",146,NA,"Main_Side","age-1",62,68,2.2,4.412409625,4.20223522952227
"69",2021,"2021-05-26",146,NA,"Main_Side","age-1",53,58,1.5,4.412409625,4.20223522952227
"70",2021,"2021-05-26",146,NA,"Main_Side","age-1",55,61,1.7,4.412409625,4.20223522952227
"71",2021,"2021-05-26",146,NA,"Main_Side","age-1",51,55,1.7,4.412409625,4.20223522952227
"72",2021,"2021-05-26",146,NA,"Main_Side","age-1",61,66,2.1,4.412409625,4.20223522952227
"73",2021,"2021-05-26",146,NA,"Main_Side","age-1",60,64,2.2,4.412409625,4.20223522952227
"74",2021,"2021-05-26",146,NA,"Main_Side","age-1",53,57,1.6,4.412409625,4.20223522952227
"75",2021,"2021-05-26",146,NA,"Seep","age-1",54,57,1.5,4.412409625,4.20223522952227
"76",2021,"2021-05-26",146,NA,"Seep","age-1",60,64,1.8,4.412409625,4.20223522952227
"77",2021,"2021-05-26",146,NA,"Seep","age-1",56,60,1.8,4.412409625,4.20223522952227
"78",2021,"2021-05-26",146,NA,"Seep","age-1",51,56,1.5,4.412409625,4.20223522952227
"79",2021,"2021-05-28",148,NA,"Seep","age-1",62,67,2.9,4.41171466666667,3.87910173528208
"80",2021,"2021-05-28",148,NA,"Seep","age-1",59,63,2.3,4.41171466666667,3.87910173528208
"81",2021,"2021-05-28",148,NA,"Seep","age-1",52,57,1.7,4.41171466666667,3.87910173528208
"82",2021,"2021-05-28",148,NA,"Seep","age-1",52,55,1.9,4.41171466666667,3.87910173528208
"83",2021,"2021-05-28",148,NA,"Main_Side","age-1",65,70,2.8,4.41171466666667,3.87910173528208
"84",2021,"2021-05-28",148,NA,"Main_Side","age-1",64,70,2.6,4.41171466666667,3.87910173528208
"85",2021,"2021-05-28",148,NA,"Main_Side","age-1",51,55,0.9,4.41171466666667,3.87910173528208
"86",2021,"2021-05-28",148,NA,"Main_Side","age-1",59,63,2.1,4.41171466666667,3.87910173528208
"87",2021,"2021-05-28",148,NA,"Main_Side","age-1",55,59,1.7,4.41171466666667,3.87910173528208
"88",2021,"2021-05-31",151,NA,"Main_Seep","age-1",47,51,0.8,4.75499735416667,5.45310386278949
"89",2021,"2021-05-31",151,NA,"Main_Seep","age-1",64,69,2.9,4.75499735416667,5.45310386278949
"90",2021,"2021-05-31",151,NA,"Main_Seep","age-1",55,59,2,4.75499735416667,5.45310386278949
"91",2021,"2021-06-01",152,NA,"Main_Side","age-1",55,59,2.3,5.34889270833333,22.925636433074
"92",2021,"2021-06-01",152,NA,"Main_Side","age-1",71,77,3.7,5.34889270833333,22.925636433074
"93",2021,"2021-06-01",152,NA,"Main_Side","age-1",60,64,1.9,5.34889270833333,22.925636433074
"94",2021,"2021-06-01",152,NA,"Main_Side","age-1",68,74,3.2,5.34889270833333,22.925636433074
"95",2021,"2021-06-01",152,NA,"Main_Side","age-1",55,59,1.8,5.34889270833333,22.925636433074
"96",2021,"2021-06-01",152,NA,"Main_Side","age-1",55,59,1.8,5.34889270833333,22.925636433074
"97",2021,"2021-06-01",152,NA,"Main_Side","age-1",56,60,2,5.34889270833333,22.925636433074
"98",2021,"2021-06-01",152,NA,"Seep","age-1",63,68,3,5.34889270833333,22.925636433074
"99",2021,"2021-06-01",152,NA,"Seep","age-1",60,65,2.2,5.34889270833333,22.925636433074
"100",2021,"2021-06-01",152,NA,"Seep","age-1",54,58,1.7,5.34889270833333,22.925636433074
"101",2021,"2021-06-01",152,NA,"Seep","age-1",52,56,1.8,5.34889270833333,22.925636433074
"102",2021,"2021-06-01",152,NA,"Seep","age-1",56,60,2.1,5.34889270833333,22.925636433074
"103",2021,"2021-06-01",152,NA,"Seep","age-1",69,74,3.7,5.34889270833333,22.925636433074
"104",2021,"2021-06-01",152,NA,"Seep","age-1",49,54,1.3,5.34889270833333,22.925636433074
"105",2021,"2021-06-04",155,NA,"Seep","age-1",52,56,1.7,5.2856515,24.0867191405825
"106",2021,"2021-06-04",155,NA,"Seep","age-1",53,57,1.5,5.2856515,24.0867191405825
"107",2021,"2021-06-04",155,NA,"Seep","age-1",60,65,2.4,5.2856515,24.0867191405825
"108",2021,"2021-06-04",155,NA,"Seep","age-1",72,77,3.3,5.2856515,24.0867191405825
"109",2021,"2021-06-04",155,NA,"Seep","age-1",60,65,1.9,5.2856515,24.0867191405825
"110",2021,"2021-06-04",155,NA,"Seep","age-1",50,54,1.4,5.2856515,24.0867191405825
"111",2021,"2021-06-04",155,NA,"Seep","age-1",59,64,2.6,5.2856515,24.0867191405825
"112",2021,"2021-06-04",155,NA,"Seep","age-1",55,59,1.7,5.2856515,24.0867191405825
"113",2021,"2021-06-04",155,NA,"Seep","age-1",55,60,2.1,5.2856515,24.0867191405825
"114",2021,"2021-06-04",155,NA,"Main_Side","age-1",55,60,1.7,5.2856515,24.0867191405825
"115",2021,"2021-06-04",155,NA,"Main_Side","age-1",55,59,1.7,5.2856515,24.0867191405825
"116",2021,"2021-06-04",155,NA,"Main_Side","age-1",48,51,1,5.2856515,24.0867191405825
"117",2021,"2021-06-09",160,NA,"Seep","age-1",58,61,1.8,6.1924919375,5.47999688460037
"118",2021,"2021-06-09",160,NA,"Seep","age-1",54,50,1.2,6.1924919375,5.47999688460037
"119",2021,"2021-06-09",160,NA,"Seep","age-1",62,67,2.5,6.1924919375,5.47999688460037
"120",2021,"2021-06-09",160,NA,"Seep","age-1",70,75,3.3,6.1924919375,5.47999688460037
"121",2021,"2021-06-09",160,NA,"Seep","age-1",63,67,2,6.1924919375,5.47999688460037
"122",2021,"2021-06-09",160,NA,"Main_Side","age-1",57,61,2,6.1924919375,5.47999688460037
"123",2021,"2021-06-09",160,NA,"Main_Side","age-1",65,70,1.8,6.1924919375,5.47999688460037
"124",2021,"2021-06-09",160,NA,"Main_Side","age-1",60,65,2.3,6.1924919375,5.47999688460037
"125",2021,"2021-06-09",160,NA,"Main_Side","age-1",56,60,1.6,6.1924919375,5.47999688460037
"126",2021,"2021-06-09",160,NA,"Seep","age-1",61,67,2.4,6.1924919375,5.47999688460037
"127",2021,"2021-06-09",160,NA,"Seep","age-1",55,59,1.5,6.1924919375,5.47999688460037
"128",2021,"2021-06-10",161,NA,"Seep","age-1",59,63,1.8,5.89512995833333,5.53165525609046
"129",2021,"2021-06-10",161,NA,"Seep","age-1",60,65,2.2,5.89512995833333,5.53165525609046
"130",2021,"2021-06-10",161,NA,"Main_Side","age-1",69,75,3.6,5.89512995833333,5.53165525609046
"131",2021,"2021-06-10",161,NA,"Main_Side","age-1",60,65,2.4,5.89512995833333,5.53165525609046
"132",2021,"2021-06-10",161,NA,"Main_Side","age-1",68,73,3.1,5.89512995833333,5.53165525609046
"133",2021,"2021-06-10",161,NA,"Main_Side","age-1",57,61,2,5.89512995833333,5.53165525609046
"134",2021,"2021-06-10",161,NA,"Main_Side","age-1",59,63,2.2,5.89512995833333,5.53165525609046
"135",2021,"2021-06-10",161,NA,"Main_Side","age-1",83,89,6.3,5.89512995833333,5.53165525609046
"136",2021,"2021-06-10",161,NA,"Seep","age-1",58,62,2,5.89512995833333,5.53165525609046
"137",2021,"2021-06-10",161,NA,"Seep","age-1",65,71,3.2,5.89512995833333,5.53165525609046
"138",2021,"2021-06-10",161,NA,"Seep","age-1",61,67,2.6,5.89512995833333,5.53165525609046
"139",2021,"2021-06-10",161,NA,"Seep","age-1",74,77,4.6,5.89512995833333,5.53165525609046
"140",2021,"2021-06-10",161,NA,"Seep","age-1",55,61,1.7,5.89512995833333,5.53165525609046
"141",2021,"2021-06-15",166,NA,"Main_Side","age-0",33,34,0.2,6.33666666666667,4.68390060479745
"142",2021,"2021-06-15",166,NA,"Main_Side","age-0",35,36,0.3,6.33666666666667,4.68390060479745
"143",2021,"2021-06-15",166,NA,"Main_Side","age-0",36,38,0.3,6.33666666666667,4.68390060479745
"144",2021,"2021-06-15",166,NA,"Main_Side","age-0",38,39,0.4,6.33666666666667,4.68390060479745
"145",2021,"2021-06-15",166,NA,"Main_Side","age-0",33,35,0.3,6.33666666666667,4.68390060479745
"146",2021,"2021-06-15",166,NA,"Main_Side","age-0",35,36,0.4,6.33666666666667,4.68390060479745
"147",2021,"2021-06-15",166,NA,"Main_Side","age-0",33,34,0.3,6.33666666666667,4.68390060479745
"148",2021,"2021-06-15",166,NA,"Main_Side","age-0",37,38,0.4,6.33666666666667,4.68390060479745
"149",2021,"2021-06-15",166,NA,"Main_Side","age-0",33,34,0.3,6.33666666666667,4.68390060479745
"150",2021,"2021-06-15",166,NA,"Main_Side","age-0",32,33,0.2,6.33666666666667,4.68390060479745
"151",2021,"2021-06-15",166,NA,"Main_Side","age-0",34,35,0.3,6.33666666666667,4.68390060479745
"152",2021,"2021-06-15",166,NA,"Main_Side","age-0",34,35,0.3,6.33666666666667,4.68390060479745
"153",2021,"2021-06-15",166,NA,"Main_Side","age-0",34,35,0.3,6.33666666666667,4.68390060479745
"154",2021,"2021-06-15",166,NA,"Main_Side","age-0",35,36,0.3,6.33666666666667,4.68390060479745
"155",2021,"2021-06-15",166,NA,"Main_Side","age-1",55,60,2.2,6.33666666666667,4.68390060479745
"156",2021,"2021-06-15",166,NA,"Main_Side","age-1",61,66,2.6,6.33666666666667,4.68390060479745
"157",2021,"2021-06-15",166,NA,"Main_Side","age-1",59,64,2.2,6.33666666666667,4.68390060479745
"158",2021,"2021-06-15",166,NA,"Main_Side","age-1",57,61,2.2,6.33666666666667,4.68390060479745
"159",2021,"2021-06-15",166,NA,"Main_Side","age-1",71,77,4.2,6.33666666666667,4.68390060479745
"160",2021,"2021-06-15",166,NA,"Main_Side","age-1",52,56,1.4,6.33666666666667,4.68390060479745
"161",2021,"2021-06-15",166,NA,"Main_Side","age-1",69,75,4,6.33666666666667,4.68390060479745
"162",2021,"2021-06-17",168,NA,"Main_Side","age-0",33,34,0.3,6.51708333333333,7.28674447463159
"163",2021,"2021-06-17",168,NA,"Main_Side","age-0",33,34,0.3,6.51708333333333,7.28674447463159
"164",2021,"2021-06-17",168,NA,"Main_Side","age-0",38,40,0.5,6.51708333333333,7.28674447463159
"165",2021,"2021-06-17",168,NA,"Main_Side","age-0",34,35,0.4,6.51708333333333,7.28674447463159
"166",2021,"2021-06-17",168,NA,"Main_Side","age-0",32,33,0.3,6.51708333333333,7.28674447463159
"167",2021,"2021-06-17",168,NA,"Main_Side","age-0",35,36,0.3,6.51708333333333,7.28674447463159
"168",2021,"2021-06-17",168,NA,"Main_Side","age-0",35,36,0.4,6.51708333333333,7.28674447463159
"169",2021,"2021-06-17",168,NA,"Main_Side","age-0",34,35,0.3,6.51708333333333,7.28674447463159
"170",2021,"2021-06-17",168,NA,"Main_Side","age-0",34,35,0.3,6.51708333333333,7.28674447463159
"171",2021,"2021-06-17",168,NA,"Main_Side","age-0",32,33,0.3,6.51708333333333,7.28674447463159
